iter	Passed	Remaining
0	135	135070
1	138	68943
2	139	46498
3	142	35384
4	144	28786
5	146	24215
6	148	21065
7	150	18630
8	151	16724
9	154	15259
10	157	14167
11	159	13115
12	161	12236
13	162	11452
14	163	10763
15	165	10208
16	167	9686
17	169	9234
18	171	8854
19	173	8489
20	174	8152
21	176	7840
22	178	7568
23	180	7336
24	181	7094
25	183	6885
26	186	6709
27	187	6516
28	189	6332
29	190	6161
30	192	6027
31	194	5875
32	195	5736
33	197	5625
34	200	5523
35	201	5405
36	203	5296
37	205	5205
38	207	5111
39	208	5011
40	210	4922
41	212	4838
42	214	4771
43	216	4694
44	217	4617
45	219	4553
46	221	4481
47	222	4407
48	223	4338
49	225	4280
50	228	4243
51	230	4194
52	232	4147
53	233	4095
54	235	4039
55	236	3987
56	238	3937
57	241	3925
58	244	3898
59	246	3863
60	248	3829
61	250	3791
62	252	3755
63	256	3746
64	258	3713
65	259	3676
66	261	3647
67	263	3611
68	264	3575
69	266	3539
70	267	3505
71	270	3486
72	272	3461
73	274	3430
74	275	3398
75	276	3366
76	278	3336
77	279	3306
78	281	3278
79	282	3248
80	285	3239
81	287	3218
82	288	3185
83	289	3159
84	291	3135
85	292	3111
86	294	3091
87	296	3068
88	298	3055
89	300	3035
90	301	3013
91	303	2991
92	304	2969
93	306	2954
94	307	2931
95	308	2909
96	310	2887
97	311	2866
98	312	2847
99	315	2836
100	316	2821
101	318	2802
102	319	2785
103	321	2766
104	322	2747
105	323	2728
106	324	2710
107	325	2691
108	327	2673
109	329	2666
110	331	2654
111	332	2638
112	333	2621
113	335	2605
114	336	2588
115	337	2572
116	338	2555
117	339	2539
118	341	2524
119	342	2512
120	344	2504
121	345	2489
122	347	2477
123	348	2464
124	350	2450
125	351	2436
126	352	2422
127	353	2409
128	354	2396
129	356	2385
130	359	2381
131	360	2373
132	362	2361
133	363	2350
134	364	2338
135	366	2325
136	367	2313
137	368	2302
138	369	2290
139	370	2278
140	372	2268
141	374	2260
142	375	2252
143	377	2241
144	378	2230
145	379	2219
146	380	2208
147	381	2197
148	382	2187
149	384	2179
150	386	2170
151	387	2163
152	389	2158
153	391	2149
154	392	2139
155	393	2130
156	394	2120
157	396	2111
158	397	2104
159	400	2102
160	401	2092
161	403	2086
162	405	2080
163	406	2072
164	407	2064
165	409	2056
166	410	2048
167	411	2039
168	413	2031
169	414	2022
170	415	2014
171	417	2008
172	419	2004
173	420	1996
174	421	1988
175	423	1980
176	424	1973
177	425	1965
178	426	1957
179	428	1949
180	429	1942
181	431	1939
182	433	1935
183	435	1929
184	436	1922
185	437	1914
186	438	1907
187	439	1899
188	441	1892
189	442	1885
190	443	1878
191	444	1871
192	446	1865
193	448	1862
194	450	1859
195	451	1853
196	453	1846
197	454	1839
198	455	1833
199	456	1826
200	457	1819
201	458	1812
202	460	1806
203	462	1803
204	463	1799
205	466	1797
206	467	1791
207	468	1785
208	470	1779
209	471	1773
210	472	1767
211	474	1764
212	477	1763
213	479	1759
214	480	1755
215	482	1750
216	483	1746
217	485	1741
218	487	1736
219	488	1732
220	490	1728
221	492	1726
222	495	1727
223	497	1722
224	498	1717
225	500	1713
226	501	1708
227	503	1704
228	507	1708
229	509	1706
230	511	1703
231	514	1702
232	515	1698
233	517	1693
234	519	1690
235	521	1688
236	523	1684
237	524	1679
238	526	1675
239	527	1671
240	529	1666
241	530	1662
242	532	1658
243	533	1653
244	535	1651
245	537	1648
246	539	1644
247	541	1640
248	542	1636
249	545	1635
250	546	1632
251	548	1627
252	550	1626
253	552	1622
254	553	1617
255	555	1613
256	557	1612
257	559	1608
258	560	1604
259	562	1600
260	564	1597
261	566	1596
262	568	1592
263	569	1588
264	571	1584
265	573	1581
266	575	1579
267	576	1575
268	578	1572
269	580	1570
270	582	1567
271	584	1563
272	586	1560
273	587	1557
274	590	1557
275	592	1554
276	596	1555
277	597	1553
278	600	1550
279	601	1547
280	603	1544
281	607	1545
282	612	1551
283	614	1548
284	616	1546
285	617	1542
286	620	1540
287	621	1537
288	623	1534
289	626	1534
290	628	1530
291	629	1527
292	631	1523
293	632	1519
294	634	1515
295	635	1511
296	637	1508
297	639	1505
298	641	1503
299	643	1501
300	645	1498
301	646	1495
302	648	1492
303	650	1488
304	651	1485
305	654	1484
306	656	1480
307	657	1476
308	659	1474
309	660	1470
310	662	1466
311	663	1462
312	664	1459
313	666	1455
314	668	1454
315	670	1450
316	671	1447
317	673	1444
318	675	1442
319	677	1438
320	678	1435
321	680	1431
322	681	1429
323	684	1428
324	686	1424
325	687	1421
326	689	1419
327	691	1416
328	692	1412
329	694	1409
330	695	1406
331	698	1405
332	699	1401
333	701	1398
334	703	1396
335	705	1393
336	706	1390
337	708	1386
338	709	1383
339	711	1380
340	713	1378
341	714	1375
342	716	1372
343	718	1369
344	720	1367
345	721	1363
346	722	1360
347	723	1356
348	725	1352
349	727	1351
350	728	1347
351	730	1344
352	731	1341
353	733	1338
354	735	1335
355	736	1331
356	737	1328
357	739	1325
358	740	1322
359	742	1320
360	744	1317
361	746	1315
362	747	1312
363	749	1309
364	750	1305
365	751	1302
366	753	1299
367	754	1295
368	755	1292
369	757	1290
370	759	1288
371	761	1284
372	762	1281
373	763	1278
374	764	1274
375	766	1271
376	767	1267
377	768	1264
378	769	1260
379	771	1258
380	773	1256
381	774	1253
382	776	1250
383	777	1247
384	778	1243
385	779	1240
386	781	1237
387	782	1234
388	783	1231
389	785	1229
390	787	1226
391	789	1224
392	790	1221
393	792	1218
394	793	1215
395	795	1212
396	796	1209
397	797	1206
398	798	1203
399	801	1201
400	802	1198
401	804	1196
402	806	1194
403	808	1192
404	809	1189
405	811	1186
406	812	1183
407	813	1180
408	815	1177
409	817	1175
410	818	1173
411	820	1170
412	821	1167
413	822	1164
414	823	1161
415	825	1158
416	826	1155
417	827	1152
418	828	1149
419	831	1147
420	832	1145
421	834	1142
422	835	1139
423	837	1137
424	838	1134
425	839	1131
426	840	1128
427	841	1125
428	843	1122
429	844	1119
430	847	1118
431	848	1116
432	850	1113
433	851	1110
434	853	1107
435	854	1105
436	855	1102
437	857	1099
438	859	1097
439	861	1096
440	863	1094
441	865	1092
442	866	1089
443	868	1087
444	869	1084
445	870	1081
446	872	1079
447	873	1076
448	876	1075
449	878	1073
450	879	1070
451	880	1067
452	882	1065
453	883	1062
454	884	1059
455	885	1056
456	887	1054
457	888	1051
458	891	1050
459	892	1048
460	894	1045
461	895	1042
462	896	1039
463	897	1037
464	899	1034
465	900	1031
466	901	1029
467	903	1026
468	905	1025
469	907	1023
470	908	1020
471	909	1017
472	911	1015
473	912	1012
474	913	1009
475	914	1007
476	916	1004
477	917	1001
478	919	1000
479	921	998
480	922	995
481	924	993
482	925	991
483	927	988
484	928	985
485	929	983
486	930	980
487	931	977
488	933	976
489	935	973
490	937	971
491	938	969
492	940	967
493	941	964
494	942	961
495	944	959
496	945	956
497	946	954
498	948	952
499	950	950
500	952	948
501	953	945
502	954	943
503	956	940
504	957	938
505	958	935
506	959	933
507	961	930
508	962	928
509	964	926
510	966	924
511	967	922
512	968	919
513	970	917
514	971	914
515	972	912
516	973	909
517	974	907
518	976	905
519	979	904
520	981	902
521	982	899
522	984	897
523	985	895
524	986	892
525	988	890
526	989	888
527	990	885
528	992	883
529	994	881
530	995	879
531	997	877
532	998	874
533	999	872
534	1000	869
535	1001	867
536	1003	864
537	1004	862
538	1005	860
539	1006	857
540	1008	855
541	1010	853
542	1011	851
543	1013	849
544	1014	846
545	1015	844
546	1017	842
547	1018	839
548	1019	837
549	1020	835
550	1021	832
551	1023	830
552	1025	828
553	1026	826
554	1027	824
555	1029	821
556	1030	819
557	1031	817
558	1032	814
559	1034	812
560	1035	810
561	1036	807
562	1038	805
563	1040	803
564	1041	801
565	1042	799
566	1043	797
567	1044	794
568	1046	792
569	1047	790
570	1048	787
571	1050	785
572	1051	783
573	1053	782
574	1055	780
575	1056	777
576	1058	775
577	1059	773
578	1060	771
579	1062	769
580	1063	766
581	1064	764
582	1066	762
583	1068	760
584	1069	758
585	1071	756
586	1072	754
587	1073	751
588	1074	749
589	1075	747
590	1076	745
591	1077	742
592	1078	740
593	1079	738
594	1081	735
595	1083	734
596	1084	732
597	1085	730
598	1087	727
599	1088	725
600	1089	723
601	1090	721
602	1091	718
603	1093	716
604	1094	714
605	1095	712
606	1097	710
607	1099	708
608	1100	706
609	1101	704
610	1102	702
611	1104	699
612	1105	697
613	1106	695
614	1107	693
615	1108	691
616	1110	689
617	1111	687
618	1113	685
619	1115	683
620	1116	681
621	1117	679
622	1119	677
623	1120	675
624	1121	672
625	1122	670
626	1124	668
627	1125	666
628	1127	664
629	1128	663
630	1130	660
631	1131	658
632	1132	656
633	1134	654
634	1135	652
635	1136	650
636	1137	648
637	1139	646
638	1141	644
639	1143	643
640	1144	641
641	1145	638
642	1146	636
643	1148	634
644	1149	632
645	1150	630
646	1151	628
647	1152	626
648	1154	624
649	1155	622
650	1157	620
651	1159	618
652	1160	616
653	1161	614
654	1162	612
655	1163	610
656	1164	608
657	1166	606
658	1167	604
659	1168	602
660	1170	600
661	1172	598
662	1173	596
663	1174	594
664	1176	592
665	1177	590
666	1178	588
667	1179	586
668	1180	584
669	1182	582
670	1183	580
671	1184	578
672	1186	576
673	1188	574
674	1189	572
675	1190	570
676	1192	568
677	1193	566
678	1194	564
679	1196	562
680	1197	560
681	1198	558
682	1200	557
683	1201	555
684	1203	553
685	1204	551
686	1206	549
687	1207	547
688	1209	545
689	1210	543
690	1212	542
691	1213	540
692	1215	538
693	1218	537
694	1219	535
695	1221	533
696	1222	531
697	1224	529
698	1225	527
699	1226	525
700	1227	523
701	1230	522
702	1232	520
703	1233	518
704	1235	516
705	1237	515
706	1239	513
707	1240	511
708	1242	509
709	1244	508
710	1246	506
711	1248	504
712	1250	503
713	1251	501
714	1253	499
715	1254	497
716	1256	495
717	1257	493
718	1260	492
719	1261	490
720	1263	489
721	1265	487
722	1267	485
723	1268	483
724	1270	481
725	1271	480
726	1273	478
727	1275	476
728	1278	475
729	1280	473
730	1281	471
731	1283	469
732	1284	467
733	1286	466
734	1289	464
735	1292	463
736	1294	461
737	1296	460
738	1297	458
739	1299	456
740	1300	454
741	1302	452
742	1304	451
743	1306	449
744	1309	448
745	1311	446
746	1313	444
747	1314	442
748	1316	441
749	1318	439
750	1320	437
751	1321	435
752	1325	434
753	1328	433
754	1329	431
755	1331	429
756	1333	428
757	1336	426
758	1337	424
759	1343	424
760	1345	422
761	1347	420
762	1350	419
763	1352	417
764	1353	415
765	1355	414
766	1357	412
767	1359	410
768	1361	408
769	1362	407
770	1365	405
771	1367	403
772	1368	401
773	1370	400
774	1372	398
775	1373	396
776	1375	394
777	1377	393
778	1379	391
779	1381	389
780	1382	387
781	1384	386
782	1386	384
783	1388	382
784	1390	380
785	1392	379
786	1395	377
787	1396	375
788	1398	373
789	1399	372
790	1402	370
791	1404	368
792	1405	366
793	1407	365
794	1410	363
795	1411	361
796	1413	359
797	1414	358
798	1416	356
799	1417	354
800	1419	352
801	1420	350
802	1422	349
803	1425	347
804	1426	345
805	1428	343
806	1429	341
807	1431	340
808	1433	338
809	1435	336
810	1436	334
811	1438	333
812	1440	331
813	1442	329
814	1444	327
815	1446	326
816	1448	324
817	1449	322
818	1451	320
819	1454	319
820	1455	317
821	1457	315
822	1458	313
823	1460	311
824	1462	310
825	1464	308
826	1467	306
827	1469	305
828	1471	303
829	1472	301
830	1473	299
831	1475	297
832	1477	296
833	1478	294
834	1479	292
835	1483	291
836	1485	289
837	1487	287
838	1489	285
839	1490	283
840	1491	282
841	1493	280
842	1494	278
843	1496	276
844	1498	274
845	1500	273
846	1502	271
847	1503	269
848	1504	267
849	1505	265
850	1507	263
851	1508	262
852	1509	260
853	1511	258
854	1513	256
855	1515	254
856	1516	253
857	1518	251
858	1519	249
859	1520	247
860	1521	245
861	1523	243
862	1524	241
863	1526	240
864	1528	238
865	1529	236
866	1531	234
867	1532	233
868	1533	231
869	1534	229
870	1535	227
871	1537	225
872	1538	223
873	1539	221
874	1541	220
875	1542	218
876	1544	216
877	1546	214
878	1547	212
879	1548	211
880	1549	209
881	1551	207
882	1552	205
883	1553	203
884	1555	202
885	1558	200
886	1559	198
887	1560	196
888	1562	195
889	1563	193
890	1565	191
891	1566	189
892	1567	187
893	1569	186
894	1571	184
895	1572	182
896	1573	180
897	1575	178
898	1576	177
899	1578	175
900	1580	173
901	1581	171
902	1582	170
903	1583	168
904	1586	166
905	1587	164
906	1589	162
907	1590	161
908	1591	159
909	1592	157
910	1594	155
911	1595	153
912	1596	152
913	1597	150
914	1598	148
915	1601	146
916	1603	145
917	1604	143
918	1606	141
919	1607	139
920	1608	138
921	1610	136
922	1611	134
923	1612	132
924	1613	130
925	1615	129
926	1617	127
927	1618	125
928	1620	123
929	1621	122
930	1622	120
931	1623	118
932	1625	116
933	1626	114
934	1627	113
935	1628	111
936	1630	109
937	1632	107
938	1633	106
939	1635	104
940	1636	102
941	1637	100
942	1639	99
943	1640	97
944	1641	95
945	1642	93
946	1644	92
947	1646	90
948	1647	88
949	1649	86
950	1650	85
951	1651	83
952	1652	81
953	1654	79
954	1655	77
955	1656	76
956	1657	74
957	1659	72
958	1660	71
959	1662	69
960	1663	67
961	1664	65
962	1665	63
963	1666	62
964	1668	60
965	1669	58
966	1670	57
967	1671	55
968	1672	53
969	1674	51
970	1676	50
971	1677	48
972	1679	46
973	1680	44
974	1681	43
975	1682	41
976	1683	39
977	1685	37
978	1686	36
979	1687	34
980	1689	32
981	1691	30
982	1692	29
983	1693	27
984	1695	25
985	1696	24
986	1697	22
987	1698	20
988	1699	18
989	1701	17
990	1702	15
991	1704	13
992	1705	12
993	1707	10
994	1708	8
995	1709	6
996	1711	5
997	1712	3
998	1714	1
999	1715	0
